file,segment,fault_type,load_hp,rpm,sampling_frequency_hz,mean,std,rms,peak,peak_to_peak,mean_absolute,kurtosis,skewness,crest_factor
121.mat,45,Ball,3,1722.0,12000,0.0045119767788641,0.1489475971123166,0.1490159206930118,0.5946750099800399,1.1752181636726546,0.1186919758822199,3.0202267256829027,0.0118131709485681,3.990681044108917
119.mat,8,Ball,1,1772.0,12000,0.0036884592241298,0.1419426048200222,0.1419905200868743,0.6396695409181637,1.2310958483033931,0.1135235565490113,3.075140141658314,0.00429708375595,4.505015831527297
120.mat,54,Ball,2,1748.0,12000,0.0041831408179734,0.1441927116534497,0.1442533769486104,0.4923408782435129,0.9430983632734532,0.1161464714613741,2.776800013110764,0.0288611583979175,3.413028441052766
121.mat,27,Ball,3,1722.0,12000,0.0042366777870041,0.157767636379078,0.1578245118076146,0.5344115768463074,1.0213920958083833,0.1266903197413766,2.809845588312427,0.0174602866748586,3.3861126559209374
121.mat,23,Ball,3,1722.0,12000,0.004092048656593,0.1586302631987133,0.1586830339535421,0.5074473453093812,0.9908542914171656,0.1274568501668538,2.7813343472593286,0.0274882511981112,3.197867677888912
120.mat,38,Ball,2,1748.0,12000,0.0046034258533713,0.1465286277960537,0.1466009218708461,0.518005628742515,0.963077884231537,0.11751876277718,2.84417545106875,0.0713999083262976,3.533440459527755
120.mat,10,Ball,2,1748.0,12000,0.0050097119627931,0.1464207900166732,0.1465064673079549,0.5667361676646706,1.124863273453094,0.1164346589828156,3.0680642704695,-0.0018314722152863,3.868335494523921
121.mat,42,Ball,3,1722.0,12000,0.00445046875,0.1523855082870226,0.1524504831346524,0.5566651896207585,1.1016350499001994,0.1212702766537238,3.0345457715143245,0.0246990305411517,3.651449166803111
119.mat,38,Ball,1,1772.0,12000,0.0039302876960921,0.1387476914561128,0.1388033466663348,0.5285639121756487,0.9963770858283434,0.1110777498616049,2.943339798878838,-0.0104385525432472,3.8080055335138825
121.mat,4,Ball,3,1722.0,12000,0.0038021955405595,0.1542482216630937,0.1542950763218177,0.6096190419161677,1.1688831936127744,0.1240223544609998,2.917024898240832,0.030804944940532,3.950994785113348
121.mat,1,Ball,3,1722.0,12000,0.0032371624037082,0.1555737893470365,0.1556074649630411,0.5123203992015969,1.0124581636726546,0.1253656168424869,2.818444883975033,0.0272112972262373,3.292389599196156
120.mat,21,Ball,2,1748.0,12000,0.0047364751356661,0.1513775428814678,0.1514516249022816,0.5191426746506986,0.9962146506986028,0.1215507310574164,2.7754554154739783,0.0329363074408254,3.42777883687716
120.mat,30,Ball,2,1748.0,12000,0.0048813818651758,0.1476359645566488,0.1477166406316016,0.5295385229540919,1.014407385229541,0.1184269480570109,2.8464746314484803,0.0397120013925835,3.5848264670108243
121.mat,53,Ball,3,1722.0,12000,0.0047393304406811,0.1527547545807517,0.1528282575312944,0.5465942115768464,1.0280519361277447,0.1226217083801147,2.882479978036882,0.0352292975677446,3.576525836296478
121.mat,11,Ball,3,1722.0,12000,0.0040380358033932,0.1560496172997672,0.1561018539049209,0.548705868263473,1.0431584031936127,0.1261594312936627,2.713912368831827,0.0112015536518102,3.515050299131493
119.mat,50,Ball,1,1772.0,12000,0.0041489564718219,0.1386436654075299,0.1387057309466345,0.4288287425149701,0.835079001996008,0.1119360862747161,2.79839442377988,-0.0130355635604279,3.0916440120268507
120.mat,46,Ball,2,1748.0,12000,0.0041111236803736,0.1429368867436324,0.1429959962022619,0.4985134131736527,0.9804584431137724,0.1149661200937967,2.831484514852027,0.0340181356610199,3.4862053932511925
121.mat,32,Ball,3,1722.0,12000,0.004172314453125,0.1551498314256588,0.1552059225651718,0.5482185628742515,1.0520923353293412,0.124796261091099,2.789699687550282,0.0293731652475391,3.5322013091610702
