file,segment,fault_type,load_hp,rpm,sampling_frequency_hz,mean,std,rms,peak,peak_to_peak,mean_absolute,kurtosis,skewness,crest_factor,peak_frequency,peak_amplitude,spectral_energy,spectral_centroid,spectral_bandwidth
105.mat,0,Inner Race,0,1797.0,12000,0.0155763233688872,0.2855337397891611,0.2859582808866994,1.4827078642714573,2.6639361277445115,0.2041919827337512,5.458891915504828,0.1242277433899846,5.185049580218053,3585.9375,0.0480171366383798,0.0410073820521459,2702.8609684192334,1174.938171210415
105.mat,1,Inner Race,0,1797.0,12000,0.015434113316336,0.2863461278636243,0.2867617770839631,1.5645751696606789,2.745803433133733,0.2056413672849613,5.454058921571103,0.1142877908130306,5.456010161363224,3585.9375,0.0532130813243323,0.0412352700151374,2697.257753781772,1189.3894520386943
105.mat,2,Inner Race,0,1797.0,12000,0.0150213234566024,0.2902264858889588,0.2906149570649141,1.5657122155688623,2.7380065469061874,0.2082964440357566,5.588467030503695,0.1026831399408888,5.387583045903353,3585.9375,0.0493561720885277,0.0423413513230395,2710.742985041806,1188.223792931955
105.mat,3,Inner Race,0,1797.0,12000,0.0149802387899981,0.2912004071312324,0.2915854671748936,1.5657122155688623,2.7758539321357283,0.2074566671052426,5.704262788553119,0.1085931089820646,5.369651069165751,3585.9375,0.0458310657193977,0.0426232483700758,2714.3798315695085,1177.6390358252136
105.mat,4,Inner Race,0,1797.0,12000,0.0148610694626372,0.2893619855711312,0.2897433520880865,1.5845546906187624,2.7946964071856284,0.2061712643073228,5.755854444289263,0.1425582378814225,5.46882155949184,3585.9375,0.05160605557803,0.0420860364733168,2714.5174194286787,1189.6877987899647
105.mat,5,Inner Race,0,1797.0,12000,0.0143506043771831,0.287241750948173,0.2876000057958321,1.5845546906187624,2.742879600798404,0.2059633029253992,5.595735635830524,0.1476263973424778,5.509578090007555,3585.9375,0.0644334709399246,0.0414598524535162,2692.2133484663905,1184.4761793970586
105.mat,6,Inner Race,0,1797.0,12000,0.0142110116875623,0.2887136957420039,0.2890632300417859,1.511134011976048,2.723549820359281,0.2075794055638722,5.374917907396782,0.1493469087785186,5.227693649439964,3585.9375,0.0660850384880103,0.0418797535156726,2686.2139821665573,1187.1108537999778
105.mat,7,Inner Race,0,1797.0,12000,0.0142691885272423,0.2896797709559625,0.2900309973818745,1.4927788423153694,2.705194650698603,0.2091113163614177,5.169983939672958,0.1491137797970775,5.146963103222636,3585.9375,0.0655540006044247,0.0421608001263536,2678.1476280689058,1202.3409731430531
105.mat,8,Inner Race,0,1797.0,12000,0.014402594722664,0.2915367320011865,0.2918922760894453,1.4373884630738525,2.605297045908184,0.2110225464987992,5.0194658427096,0.1398015873753159,4.924379919643332,3585.9375,0.0643076725314808,0.0427042703838019,2686.974801683358,1193.388046646313
105.mat,9,Inner Race,0,1797.0,12000,0.0141479173781343,0.2903974040375363,0.2907418370958651,1.4373884630738525,2.631773972055888,0.2105778327427176,4.978734188002171,0.1249108472685226,4.943865242895566,3585.9375,0.0589143017638982,0.0423655012668788,2694.00715231419,1208.7403045101212
105.mat,10,Inner Race,0,1797.0,12000,0.0140621392566429,0.2892635097731157,0.2896051136405134,1.3126382834331338,2.50702379241517,0.2095969958130613,5.011516803153509,0.13200037433239,4.532510724456719,3585.9375,0.0751729968524363,0.0420344334925127,2650.4791771952773,1202.4360327286367
105.mat,11,Inner Race,0,1797.0,12000,0.0146226118368731,0.293859124368006,0.2942227145399604,1.5044741716566867,2.7399557684630738,0.2118514574074507,5.167324304697764,0.1418435733312357,5.1133855318038455,3585.9375,0.065297638435035,0.0433904146279944,2660.5590262457945,1200.2466205777157
105.mat,12,Inner Race,0,1797.0,12000,0.0144819880648858,0.29396199827461,0.2943185084358666,1.5044741716566867,2.7399557684630738,0.2125920124886945,5.114520040975312,0.1377863629925755,5.11172124258206,3585.9375,0.0554506650922835,0.0434165573654194,2657.9017914445503,1189.5797767042786
105.mat,13,Inner Race,0,1797.0,12000,0.0143569494994386,0.294238116381759,0.294588172082341,1.4872560479041916,2.6684843113772456,0.2140033659633857,4.931380105641181,0.1509350655379463,5.048593897681965,3585.9375,0.0631968018952714,0.0434941566172141,2664.9281737609967,1185.58919930447
105.mat,14,Inner Race,0,1797.0,12000,0.0145684800126309,0.2957099380832463,0.2960685868022405,1.407662834331337,2.5588405988023952,0.2151283561392839,4.947759069381732,0.1290271976107401,4.754516004332428,3585.9375,0.0615585376274495,0.0439344280600992,2687.240809444016,1189.7005641831909
105.mat,15,Inner Race,0,1797.0,12000,0.0147451123534181,0.2942817295220458,0.2946509030510537,1.6389704590818364,2.798757285429142,0.2134757690478418,5.220767348091788,0.1197914871563659,5.562414511921094,3585.9375,0.0626102685003709,0.043518287077048,2704.422252374012,1173.2190341585735
105.mat,16,Inner Race,0,1797.0,12000,0.0147795742986682,0.2929251860101686,0.2932978015866156,1.6389704590818364,2.798757285429142,0.2106462807490488,5.607592440940161,0.1616234896940812,5.588076181327332,3585.9375,0.048459867668365,0.0431210182411818,2692.967069025754,1172.311784433306
105.mat,17,Inner Race,0,1797.0,12000,0.0145022527990893,0.2912272112717827,0.2915880723235919,1.6258132135728545,2.800868942115769,0.2076016928057946,5.8723081133499,0.1543138274167672,5.575719200779231,2616.2109375,0.0403884914963899,0.0426169600524635,2707.410635670333,1160.3570523754672
105.mat,18,Inner Race,0,1797.0,12000,0.0145909655396238,0.2904614417965109,0.2908276903011237,1.6258132135728545,2.800868942115769,0.2072079383128274,5.748960351588257,0.1566749700028385,5.590297168366201,2616.2109375,0.0381799590893486,0.0423968255077102,2732.095027192123,1164.3331749836043
105.mat,19,Inner Race,0,1797.0,12000,0.0147165593032684,0.2922928528323262,0.2926630980061998,1.7026450299401197,2.997253013972056,0.2094247257438248,5.535881636857154,0.1696417542535782,5.817764663668156,3585.9375,0.0512047225556062,0.0429341433648492,2718.8116522243586,1191.4258706913524
105.mat,20,Inner Race,0,1797.0,12000,0.0144122313770895,0.2908537306261389,0.291210585371496,1.7026450299401197,2.997253013972056,0.2078409039148266,5.620209990666131,0.1725797002210913,5.846782759521132,3585.9375,0.0584359462234498,0.042505663473715,2717.456123329102,1182.6862171411296
105.mat,21,Inner Race,0,1797.0,12000,0.0141689752526197,0.290405186263057,0.2907506355421949,1.6513155289421158,2.753600319361277,0.2078347967346556,5.510447121541301,0.1686969822519916,5.679490694363316,3585.9375,0.0589249283732769,0.0423683495181062,2685.606088746671,1187.0641574303074
105.mat,22,Inner Race,0,1797.0,12000,0.0139936515932977,0.2933135123453572,0.293647133153526,1.6638230339321358,2.7661078243512973,0.2103409217405033,5.404467357359303,0.1567506613941071,5.666062583564362,3585.9375,0.0613245244428489,0.0432122322117997,2673.8364938331897,1193.598550843061
105.mat,23,Inner Race,0,1797.0,12000,0.0139756869659119,0.291666048177238,0.2920006908990047,1.6638230339321358,2.765295648702595,0.2085224493590943,5.494474934677805,0.1539620529085528,5.698010606788626,3585.9375,0.0556824238583608,0.0427298618937003,2696.881715064178,1176.8183681689534
105.mat,24,Inner Race,0,1797.0,12000,0.0139141392800336,0.2918121830659846,0.2921437205514435,1.5579153293413173,2.7011337724550897,0.2095433795300025,5.418358067036895,0.1428200469035744,5.332701748306051,3585.9375,0.0495367017531783,0.0427707863967696,2725.6852190399977,1184.9992676222505
105.mat,25,Inner Race,0,1797.0,12000,0.0140212528751091,0.2919845425354416,0.2923210026868047,1.5579153293413173,2.7011337724550897,0.2094870269129709,5.366394194416045,0.1487634088133874,5.329467657205875,3585.9375,0.0582274259218383,0.0428240843902018,2721.335150113664,1175.2303208517033
105.mat,26,Inner Race,0,1797.0,12000,0.0140389399033963,0.2889108317860644,0.2892517252445122,1.5907272255489022,2.8106150499002,0.2065004571813404,5.483969046428568,0.1421252360595239,5.499456309912128,3585.9375,0.0560485600509244,0.0419318437359285,2722.657470980303,1209.9795372213164
105.mat,27,Inner Race,0,1797.0,12000,0.0139745765695172,0.287632768712655,0.2879720445244729,1.5907272255489022,2.8106150499002,0.2055196995657123,5.366721299420195,0.1562509373511779,5.523894613366599,3585.9375,0.0533352227853476,0.0415615949625117,2714.622638259244,1183.7974525675963
105.mat,28,Inner Race,0,1797.0,12000,0.01383482525184,0.289065462178337,0.2893963438160968,1.5332251896207585,2.7958334530938123,0.2064253071396269,5.379887606664675,0.1703183291900851,5.298011610661811,3585.9375,0.0414287741947448,0.0419708252792287,2727.2319828800496,1172.0076338173317
105.mat,29,Inner Race,0,1797.0,12000,0.0132231554664109,0.2899524773428202,0.2902538388337483,1.5332251896207585,2.7958334530938123,0.2065648998292477,5.486435674623191,0.1068418991645878,5.282359729612257,3606.4453125,0.0366241016227371,0.0422110923520993,2730.1205521324405,1189.4462068762446
105.mat,30,Inner Race,0,1797.0,12000,0.0131219904234499,0.2893532798489782,0.2896506640628227,1.4541192814371258,2.657926027944112,0.2071588429293756,5.319050547252977,0.1195252710823424,5.0202518476592894,3585.9375,0.0376429257699481,0.042034846930761,2708.4068138077414,1154.8344656600414
105.mat,31,Inner Race,0,1797.0,12000,0.0129963570027912,0.2906570737030462,0.2909474863080312,1.401652734530938,2.517582075848304,0.2090830012533526,5.202516727902987,0.1604601721609194,4.817545435147645,2616.2109375,0.038663459484379,0.0424096965630354,2734.716157810176,1192.0202057582032
105.mat,32,Inner Race,0,1797.0,12000,0.0123526046929578,0.2898000737815692,0.2900632165692566,1.401652734530938,2.5700486227544905,0.2083485136952657,5.138628560812596,0.1618787143207135,4.832231922093004,3585.9375,0.0429732979137882,0.0421446284088067,2703.207691584609,1160.3450299042245
